effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,worry_domain,worry_var,outcome
fixed,worry_basic_needs:location_typePeri-urban,-0.03371819643454351,0.04538385106350268,-0.742955823369062,300.5999467809178,0.4580886464246423,-0.12302849164769977,0.05559209877861274,worry_basic_needs,worry_basic_needs,Anxiety
fixed,worry_basic_needs:location_typeRural,-0.008860590924317598,0.048783158763468074,-0.18163216874248353,219.06572108579724,0.8560393500943263,-0.10500498093398145,0.08728379908534625,worry_basic_needs,worry_basic_needs,Anxiety
fixed,worry_basic_needs:location_typeRemote,-0.024593423580792695,0.0460593841391756,-0.533950334778247,862.2986524981517,0.5935135127431904,-0.11499504671253905,0.06580819955095366,worry_basic_needs,worry_basic_needs,Anxiety
fixed,worry_basic_needs:location_typePeri-urban,0.04533177099659926,0.04505857048170068,1.0060632308565922,739.3907184634348,0.31471427788941486,-0.043126203786091354,0.13378974577928987,worry_basic_needs,worry_basic_needs,Stress
fixed,worry_basic_needs:location_typeRural,0.041750550372903115,0.048711976497370434,0.8570900500240817,737.1509302632079,0.3916736689638711,-0.05388018554935508,0.1373812862951613,worry_basic_needs,worry_basic_needs,Stress
fixed,worry_basic_needs:location_typeRemote,-0.06500598562317314,0.04376951738395244,-1.4851885400730234,862.7165622920514,0.13785918186678758,-0.15091318553651556,0.020901214290169265,worry_basic_needs,worry_basic_needs,Stress
fixed,worry_social:location_typePeri-urban,0.03437642989026448,0.05028628908999755,0.6836143710811681,861.6368723933786,0.4944024972220368,-0.06432152596605809,0.13307438574658706,worry_social,worry_social,Depression
fixed,worry_social:location_typeRural,-0.033707730157411575,0.03475170177138434,-0.9699591225534628,695.6209296776736,0.3324039976183325,-0.1019385304873889,0.034523070172565756,worry_social,worry_social,Depression
fixed,worry_social:location_typeRemote,0.003069965853639951,0.030388271912303394,0.10102469342447223,864.6239547347218,0.9195542792237916,-0.05657344388831137,0.06271337559559127,worry_social,worry_social,Depression
fixed,worry_social:location_typePeri-urban,-0.004879753147986692,0.05103908860409853,-0.09560815605149421,863.0883619529172,0.9238539806565,-0.10505500744937513,0.09529550115340174,worry_social,worry_social,Anxiety
fixed,worry_social:location_typeRural,-0.03134752523779124,0.034804952659800874,-0.9006627747549588,511.13938670366525,0.36819179973425986,-0.09972589038769591,0.03703083991211343,worry_social,worry_social,Anxiety
fixed,worry_social:location_typeRemote,0.04126648646261833,0.030780431886679466,1.3406727564624201,858.0086172911745,0.18038156598878863,-0.019147273096327952,0.10168024602156461,worry_social,worry_social,Anxiety
fixed,worry_social:location_typePeri-urban,0.042839201421038496,0.0485716968263262,0.8819786875927988,859.9324333741926,0.37803479285935604,-0.052493753976130465,0.13817215681820746,worry_social,worry_social,Stress
fixed,worry_social:location_typeRural,-0.004302377810691853,0.03399418290683663,-0.1265621774902727,836.0697015087209,0.8993173639228833,-0.07102634478530509,0.06242158916392138,worry_social,worry_social,Stress
fixed,worry_social:location_typeRemote,0.023892270838673173,0.029407128509749365,0.8124652779598033,863.7333794591266,0.4167485711800737,-0.03382552091765454,0.08161006259500089,worry_social,worry_social,Stress
fixed,worry_safety_stigma:location_typePeri-urban,0.04071856032611947,0.06532332235362817,0.6233387840515723,847.7132395015457,0.5332295860201204,-0.08749585881631403,0.16893297946855299,worry_safety_stigma,worry_safety_stigma,Depression
fixed,worry_safety_stigma:location_typeRural,-0.07311152553225521,0.07526361136896666,-0.9714060248031253,856.4008592246616,0.3316204046480392,-0.22083426690593438,0.07461121584142395,worry_safety_stigma,worry_safety_stigma,Depression
fixed,worry_safety_stigma:location_typeRemote,-0.09586081340078446,0.07283200937108444,-1.3161907000583573,863.1831171410638,0.18845944663867042,-0.23880936783002782,0.04708774102845888,worry_safety_stigma,worry_safety_stigma,Depression
fixed,worry_safety_stigma:location_typePeri-urban,-0.1225583327915398,0.0659281525233947,-1.8589681054394749,789.3312425226387,0.06340362884415274,-0.2519735780457246,0.006856912462645054,worry_safety_stigma,worry_safety_stigma,Anxiety
fixed,worry_safety_stigma:location_typeRural,-0.048017702656271595,0.07604042789412971,-0.631475965957558,799.2484536302435,0.527909915578421,-0.1972802367368336,0.10124483142429042,worry_safety_stigma,worry_safety_stigma,Anxiety
fixed,worry_safety_stigma:location_typeRemote,-0.06661580474536205,0.07401384089210042,-0.9000452340053066,864.9914966322978,0.3683466788704265,-0.21188353244983865,0.07865192295911455,worry_safety_stigma,worry_safety_stigma,Anxiety
fixed,worry_safety_stigma:location_typePeri-urban,-0.004662180455063527,0.06341860504263355,-0.07351439616070626,864.0038754738737,0.941413803940862,-0.1291347290100318,0.11981036809990477,worry_safety_stigma,worry_safety_stigma,Stress
fixed,worry_safety_stigma:location_typeRural,0.024864023722130788,0.07298708917038131,0.3406633146321006,864.9897679360921,0.7334397788868571,-0.11838848820590794,0.1681165356501695,worry_safety_stigma,worry_safety_stigma,Stress
fixed,worry_safety_stigma:location_typeRemote,-0.10723249459447828,0.0704095455822827,-1.522982341494637,861.1465567597355,0.12813024139324303,-0.24542689933584189,0.03096191014688532,worry_safety_stigma,worry_safety_stigma,Stress
