term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model
support_score,0.003557172940384489,0.01724101041492821,0.2063204449609574,0.8416066038305146,-0.03608027235671909,0.04319461823748807,8.14202919540667,Depression,M4
(Intercept),0.01578971985811159,0.08517322479940899,0.18538360964138526,0.8700694071869781,-0.351691439069478,0.3832708787857012,1.994273042474138,Anxiety,M0
countryNepal,0.08173568216718968,0.15734770748108437,0.5194589961027273,0.6222755349639905,-0.3045125764071274,0.4679839407415068,5.922019608460196,Anxiety,M0
countryVietnam,-0.1930507100469261,0.12999059272365082,-1.4851129301128416,0.1962228379719778,-0.5247128411282651,0.13861142103441287,5.127795101787488,Anxiety,M0
(Intercept),1.1458569881942,0.2760733144084993,4.150553234923321,0.002532518352928773,0.5204508313687465,1.7712631450196534,8.917214147000005,Anxiety,M1
countryNepal,-0.06715879553560526,0.15928069171841008,-0.42163802034671144,0.6947324364484322,-0.5074534676382663,0.37313587656705577,4.045139347792056,Anxiety,M1
countryVietnam,-0.3936271646155653,0.14666644399335496,-2.6838256515812127,0.04174696119609475,-0.7658998136881785,-0.021354515542952035,5.220783497612961,Anxiety,M1
age,-0.010876837289452445,0.0025822943728996636,-4.21208263612441,0.0017863408429826394,-0.016629038384256844,-0.005124636194648046,10.019394754491373,Anxiety,M1
female,0.11783902128602246,0.07208619026920039,1.634696199729263,0.1340807266612548,-0.04343924121118138,0.2791172837832263,9.706729932981926,Anxiety,M1
ethnicity_minority,0.09149577665306413,0.10164421853343879,0.9001572147752207,0.398244678936918,-0.14936167341427883,0.3323532267204071,6.92803155901783,Anxiety,M1
education,0.03540624659569282,0.030922823380334738,1.1449875116581139,0.2790937453138839,-0.0335717933516369,0.10438428654302254,9.917577564349129,Anxiety,M1
employmentPart-time/casual,0.05654946384564055,0.07899923168705056,0.7158229597682285,0.4906580512440276,-0.11974083233907173,0.23283976003035284,9.88864905055007,Anxiety,M1
employmentStudent,0.23033949125638417,0.11832152963179984,1.946725097056881,0.08729225065260336,-0.042325673189739926,0.5030046557025083,8.031264306523711,Anxiety,M1
employmentNot working,-0.07242013622284926,0.1313912140820959,-0.5511794432282184,0.5954110115652891,-0.371326575335422,0.2264863028897235,8.679980907588963,Anxiety,M1
