term,outcome,estimate,se,t_value,df,p_value,riv,fmi
employmentStudent,z_stress,0.13799830932657792,0.12081944668350136,1.142186238346864,7029.026756159577,0.2534155204627604,0.06864093772714512,0.06449813807293632
employmentNot working,z_stress,-0.06747446926632748,0.0652493100820052,-1.0341024170451107,6711.663493278901,0.3011255448549368,0.07035791082042013,0.06601134600654963
comorbidity,z_stress,0.24145185780232167,0.03536355267952782,6.82770365269606,383731.73001858377,8.641087845262518e-12,0.008769545905797196,0.00869847615363237
gen_health,z_stress,-0.12382546258951208,0.03273717555377963,-3.7824112952595867,310887.8576794238,1.5534551041263e-4,0.009752411499411182,0.009664591551435819
perceived_risk,z_stress,0.013498732983669635,0.0038099600853268856,3.5430116540214294,157256.02473492414,3.956997412741803e-4,0.013766813293021984,0.013592407034241367
risk_self,z_stress,0.08189552561412324,0.0376402311460669,2.1757444925436027,168393.09853137855,0.029575756989840274,0.013297618735532203,0.013134833487382041
health_trust,z_stress,-0.036098308969458426,0.014482904168201138,-2.4924772373151765,27544.81813569172,0.012691374908038178,0.03353547261388632,0.03251758119142758
worry_health_fear,z_stress,0.030150143624101285,0.012141673074441972,2.483195144462163,6598.333352325134,0.01304562911501761,0.07100227530151627,0.06657805127232093
worry_economic,z_stress,0.03358805250660716,0.010221220900983327,3.286109637193717,2176.8815467845184,0.0010319481619931459,0.1304801818274484,0.11623172611505765
worry_basic_needs,z_stress,0.042916141409098774,0.019875505063834013,2.159247841565048,2966.082387623041,0.030910875143791205,0.10972981535122445,0.09948676030491457
worry_social,z_stress,0.06906763484477829,0.011851315504384938,5.827845425195503,3680.676095429887,6.097067739574413e-9,0.0974101399631345,0.08925840239407835
worry_safety_stigma,z_stress,0.028195131748392117,0.027285275993590766,1.0333460345064889,6516.936767937109,0.30148033594706636,0.0714759035267066,0.06699418505971325
livelihood_disruption,z_stress,0.004912874838544176,0.009018637031978256,0.5447469302871508,326615.1800950166,0.5859279547637704,0.009512452398570398,0.0094288839467147
