effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,country,outcome
fixed,(Intercept),-0.3198502772750097,0.4604484698484931,-0.6946494520445554,156.6360599352812,0.48830410333020835,-1.2293395178080764,0.589638963258057,Indonesia,Stress
fixed,age,-0.011177371876977813,0.004585786143964307,-2.437394925554734,231.76102732476684,0.01554687792308866,-0.02021252889752699,-0.002142214856428638,Indonesia,Stress
fixed,female,0.11401882934351054,0.10468558416518964,1.0891550183604404,238.9928099488884,0.2771825552908935,-0.09220545970878438,0.32024311839580544,Indonesia,Stress
fixed,ethnicity_minority,-0.012021153388285669,0.12281832231336408,-0.0978775248013433,63.29638498685756,0.9223388353521125,-0.2574314971160744,0.23338919033950303,Indonesia,Stress
fixed,education,0.09145941362249832,0.05800638069222496,1.5767129845209826,188.28343385403804,0.11654025693372339,-0.02296649360365001,0.20588532084864664,Indonesia,Stress
fixed,employmentPart-time/casual,0.05727236689904101,0.15081140878612012,0.37976150053915586,233.93600291048324,0.7044669910208027,-0.2398497020083652,0.35439443580644725,Indonesia,Stress
fixed,employmentStudent,-0.044159230425166875,0.26116589401150203,-0.1690849817596093,237.86521630525874,0.8658734967675888,-0.5586527076696403,0.47033424681930647,Indonesia,Stress
fixed,employmentNot working,-0.08285762630781782,0.15736848922862523,-0.5265198052924185,236.77382402511986,0.5990199710543305,-0.3928788484593382,0.22716359584370252,Indonesia,Stress
fixed,comorbidity,0.24210525976434458,0.09547591343479968,2.53577317099645,235.896596468592,0.011866771339695475,0.05401090248184545,0.43019961704684373,Indonesia,Stress
fixed,gen_health,-0.09686148298206072,0.0713663123697627,-1.357243771826161,236.45262598712196,0.17599784736536592,-0.23745650227457926,0.0437335363104578,Indonesia,Stress
fixed,perceived_risk,0.03118731322966506,0.008276527852242803,3.768163870941824,236.17404214334908,2.0775854766201578e-4,0.01488206197949318,0.047492564479836935,Indonesia,Stress
fixed,risk_self,0.034463905450973276,0.09225868720342424,0.37355729303824436,206.21155932266737,0.7091174707739935,-0.14742729937203597,0.21635511027398252,Indonesia,Stress
fixed,health_trust,0.0021343994181932313,0.033968723150666666,0.06283425516838545,235.31293175231508,0.9499518279613111,-0.06478726320668106,0.06905606204306751,Indonesia,Stress
fixed,worry_health_fear,-0.050422994862581956,0.04571545866529005,-1.1029747121593718,232.98485948352752,0.2711761211381635,-0.140491512318741,0.039645522593577086,Indonesia,Stress
fixed,worry_economic,-0.002762410440495695,0.02848015451530566,-0.09699422238075057,237.04191785122507,0.922812940968108,-0.058868947734831395,0.053344126853840004,Indonesia,Stress
fixed,worry_basic_needs,0.09195820074710624,0.0761328800916384,1.2078644684979665,238.90603155709923,0.22829373012214985,-0.05801926003883766,0.24193566153305013,Indonesia,Stress
fixed,worry_social,0.09276738519781676,0.028725618480796994,3.229430386671449,237.07457376986827,0.0014159457745032712,0.036177318435545315,0.1493574519600882,Indonesia,Stress
