term,outcome,estimate,se,t_value,df,p_value,riv,fmi
worry_basic_needs,z_depression,0.07417483555130926,0.019858548648811244,3.735158941524634,14745.16757485092,1.8830340942166401e-4,0.04640602551247065,0.0444776066318569
worry_social,z_depression,0.05209486415931174,0.011840649194410378,4.39966283131707,11605.577242586527,1.0938631544998856e-5,0.0526182654462288,0.050151658564825466
worry_safety_stigma,z_depression,0.09243729601194578,0.027534396843494777,3.357157105614421,11930.59932227575,7.899445002790273e-4,0.05185915799680604,0.04946170942281919
livelihood_disruption,z_depression,0.015647234524656526,0.009217549037754118,1.6975482810633378,234949.32343281855,0.08959437558664973,0.01123476234887406,0.011118362553158808
(Intercept),z_anxiety,0.44446685537396446,0.2318702146462813,1.9168777501327627,25757.276877787306,0.055264515755872434,0.0347193508766037,0.03362939889370553
countryNepal,z_anxiety,-0.25833238085676774,0.09091426743747981,-2.8414943895843248,164551.74639173708,0.004490815866877718,0.01345401157958917,0.013287396798991234
countryVietnam,z_anxiety,-0.298538875921038,0.09556029040880233,-3.124089249246764,34773.75520326658,0.0017850287608152104,0.02973716694464688,0.028934253884643754
age,z_anxiety,-0.01105245673758408,0.0021766378811734315,-5.077765499342348,27625.1354390245,3.8437933880253183e-7,0.03348505301925232,0.03247017738185559
female1,z_anxiety,0.033220250936330374,0.05095749841904696,0.6519207568461262,214215.90710947485,0.514452993252974,0.011772152028625893,0.01164440852524773
ethnicity_minority1,z_anxiety,0.07897534555971482,0.06273840195934491,1.258803907866375,561.3094758657453,0.2086244453652295,0.29416190007737647,0.2300377214132044
education,z_anxiety,0.011957482582965794,0.01921741891303792,0.6222210504477959,44531.588863564095,0.5337997118613969,0.026187350468641794,0.025562836425710878
employmentPart-time/casual,z_anxiety,-0.029802529479638365,0.06159319072547269,-0.4838607828009977,4719.985984921106,0.628507121597349,0.08505086648908254,0.07877448887507223
employmentStudent,z_anxiety,0.18156069564375923,0.13364236999750828,1.3585563893183306,1524.5484968922563,0.1744881796400226,0.15998563437764032,0.13904906836563022
employmentNot working,z_anxiety,0.004251664770468932,0.06738762410681151,0.0630926646668817,8783.665822568648,0.9496941510257391,0.06096225605475693,0.05767394017067942
comorbidity,z_anxiety,0.24755554889442227,0.03659257083237996,6.7651860271966955,496599.85342944873,1.332844945522993e-11,0.007700647485600815,0.0076457972592463746
gen_health,z_anxiety,-0.17403396945167598,0.034205654014513844,-5.087871419673234,406749.9052004311,3.6226525246263463e-7,0.008515652123652321,0.008448623574448918
perceived_risk,z_anxiety,0.018643335949116557,0.004001530828695354,4.659050935063012,119759.29087868775,3.18011510858085e-6,0.01580722697529593,0.015577686693336557
risk_self,z_anxiety,0.05782025754470254,0.039077638472141366,1.4796251719745777,126727.16004042594,0.13897579074585886,0.015359747995588159,0.01514293784927355
health_trust,z_anxiety,0.011281743663888621,0.015091492042173337,0.7475565459241318,11087.478499881143,0.45474353737468975,0.053899116191025394,0.0513136885972653
worry_health_fear,z_anxiety,0.054640591948783034,0.012510468124611847,4.367589718028903,4473.743597830341,1.2846650930153913e-5,0.08756239600527159,0.08092331036269006
worry_economic,z_anxiety,0.014137176117868962,0.010807829888622824,1.3080494663180136,1218.445045734635,0.19110324707291637,0.18241768623093108,0.15565996110336036
worry_basic_needs,z_anxiety,0.03514064690870181,0.020176157576501565,1.7416917356766108,4939.848432872096,0.0816246445758475,0.08297776378295504,0.07699362956645794
worry_social,z_anxiety,0.042108041021547554,0.012037115773892918,3.498183602493458,5863.105274537834,4.719148731990863e-4,0.07564947575535647,0.07064607865702978
worry_safety_stigma,z_anxiety,0.07850691175839218,0.027425227914275145,2.8625801033919007,16015.16853021134,0.0042075201230435955,0.04444456251385734,0.042672844814221865
livelihood_disruption,z_anxiety,0.006675523946467256,0.009407795616216436,0.7095736577185521,134673.05294296556,0.47796978828241166,0.014892885631155966,0.014688974858618717
(Intercept),z_stress,0.28346662801699146,0.26887705685488644,1.0542611234025039,22278.29894187609,0.2917748158531277,0.037429728262300045,0.036165813079992934
countryNepal,z_stress,-0.24018197618076476,0.19679899850371316,-1.2204430815547724,5261356.909902669,0.22229700883452708,0.0023532654935591616,0.002348119873943936
countryVietnam,z_stress,0.02034238575774435,0.21183888469950635,0.09602762866977912,285013.3622311073,0.9234986969652206,0.010189887871174764,0.010094047796953727
age,z_stress,-0.009525702614442605,0.0021634604887398666,-4.402993567028795,9769.89699171254,1.0790266283144945e-5,0.057621460397502676,0.05467561899181562
female1,z_stress,0.14903643419621443,0.050525752806236966,2.9497122936051965,34241.133147483844,0.003182850691251904,0.029974461607548443,0.029158845089806845
