effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model,outcome
fixed,risk_self,0.01818171512741435,0.06904623799866312,0.2633266584019594,519.4525667444212,0.7924032326539563,-0.1174624731641638,0.1538259034189925,M4,Depression
fixed,health_trust,0.001049575323784606,0.025628849640956287,0.040952884678340296,516.8181958540472,0.9673492724769629,-0.049299958411191724,0.05139910905876094,M4,Depression
fixed,worry_health_fear,-0.07461410944246263,0.02169972198775767,-3.4384822756972495,516.9513351211878,6.321955901623106e-4,-0.11724459185108745,-0.03198362703383782,M4,Depression
fixed,worry_economic,0.03470641259046541,0.016413663629095614,2.1144829926295814,519.9459424265439,0.034949340517937993,0.002461163454617235,0.06695166172631359,M4,Depression
fixed,worry_basic_needs,0.08049564273906927,0.03299527797876777,2.439610988907796,498.28666453443793,0.015050815420780074,0.015668624697002365,0.14532266078113618,M4,Depression
fixed,worry_social,0.020177662090994086,0.019667369415714082,1.025946158049601,511.0178183673327,0.30540235044689223,-0.018461187382565032,0.058816511564553205,M4,Depression
fixed,worry_safety_stigma,0.15091226650986014,0.04397043989379983,3.4321300144904834,444.0837425938343,6.549443578304081e-4,0.06449626963693077,0.2373282633827895,M4,Depression
fixed,livelihood_disruption,0.024601599981092702,0.015498787384973166,1.5873241802739457,518.4363317143046,0.11304891814317353,-0.005846547797616619,0.05504974775980202,M4,Depression
fixed,compliance,0.005855451891747198,0.00489982118410517,1.1950337924049264,519.3597662698874,0.232619240229831,-0.003770453355163652,0.015481357138658048,M4,Depression
fixed,prevention_evidence,0.007572644371110034,0.01031407841358223,0.7342046538193754,519.9831205600104,0.4631549532189756,-0.012689740681309923,0.027835029423529993,M4,Depression
fixed,prevention_folk,-0.004338911311366383,0.0132787184070849,-0.3267567831735436,519.983557291751,0.7439833329851737,-0.03042544023337828,0.021747617610645517,M4,Depression
fixed,support_close,0.09649954310580937,0.08135145555906323,1.186205488797287,519.7906842194375,0.23608307715412744,-0.06331851088920155,0.2563175971008203,M4,Depression
fixed,support_community,0.30596135847040967,0.1230330221783537,2.486823074433428,515.9792066624753,0.013203979359844019,0.06425410158945383,0.5476686153513655,M4,Depression
fixed,support_government,0.028795976989522486,0.08380141504945696,0.34362160797079627,515.4186222996668,0.7312709974765128,-0.13583837556926337,0.19343032954830836,M4,Depression
fixed,(Intercept),0.4268463623505538,0.3331749306904604,1.2811478986908527,129.46754602778668,0.2024317431208684,-0.23232585986261073,1.0860185845637182,M4b,Depression
fixed,countryNepal,-0.35767804300310124,0.21131181660595458,-1.6926551896058148,10.781332179489565,0.11918062259672774,-0.8239257027527281,0.10856961674652565,M4b,Depression
fixed,countryVietnam,0.037299541292852324,0.22525198033912142,0.1655902924213901,10.31767050285598,0.8716791759638578,-0.4625064130611551,0.5371054956468597,M4b,Depression
fixed,age,-0.012247117064801602,0.002842212590376173,-4.3090080968154,856.6866194446926,1.8300079874918492e-5,-0.017825632758840037,-0.006668601370763167,M4b,Depression
fixed,female,0.03345120399376016,0.06708054674305629,0.49867220256702516,850.967711417288,0.6181392009419865,-0.09821151611367163,0.16511392410119197,M4b,Depression
fixed,ethnicity_minority,0.14768562199625085,0.07591687078388061,1.9453597134776643,794.5748844182569,0.05208406177393636,-0.0013357066452170663,0.2967069506377188,M4b,Depression
fixed,education,-0.012324108945243824,0.025534546350847273,-0.4826445230672717,836.5481134631295,0.6294744295640669,-0.062443413755480764,0.03779519586499311,M4b,Depression
fixed,employmentPart-time/casual,-0.02406818217747262,0.0768052225196326,-0.31336647936044226,856.1687388794168,0.7540785723778233,-0.17481676000147142,0.1266803956465262,M4b,Depression
fixed,employmentStudent,0.42197860749969063,0.15801060094460467,2.6705714994883656,856.2838321604113,0.007715830352921024,0.11184515485462715,0.7321120601447542,M4b,Depression
fixed,employmentNot working,0.02705421901643545,0.08498566286158037,0.31833862448657685,856.9187511152304,0.7503056558363665,-0.1397502184667888,0.19385865649965972,M4b,Depression
fixed,comorbidity,0.25334975016395367,0.04803459386337526,5.2743185647526465,853.8477925743974,1.689850430724663e-7,0.15907003404955924,0.3476294662783481,M4b,Depression
fixed,gen_health,-0.12238694445338884,0.04283835504894962,-2.8569478056181743,852.9222896242237,0.004381369773567064,-0.2064678921380752,-0.038305996768702485,M4b,Depression
fixed,perceived_risk,0.019365466681995864,0.005475620664712747,3.5366706110222816,856.1694367051989,4.26969650081413e-4,0.00861825444983625,0.030112678914155477,M4b,Depression
fixed,risk_self,0.037832825279803646,0.051925047310762855,0.7286045413378329,856.8966766048529,0.46644266957175273,-0.06408234878495012,0.13974799934455742,M4b,Depression
fixed,health_trust,-0.012188824083778277,0.01937169208029632,-0.6292080234011147,855.1949550085675,0.5293809141315216,-0.050210453897665305,0.02583280573010875,M4b,Depression
fixed,worry_health_fear,-0.0485127160036629,0.0173362463873154,-2.7983402473535866,856.2166041241403,0.005251965265620354,-0.08253923392964352,-0.014486198077682276,M4b,Depression
fixed,worry_economic,0.038683360661499536,0.013086209033796346,2.956040252879667,854.5430980607181,0.0032018559904058233,0.012998483398541226,0.06436823792445784,M4b,Depression
fixed,worry_basic_needs,0.062079981258396026,0.026753799731595505,2.320417356831795,844.5726170663038,0.020555731300363936,0.009568244155625988,0.11459171836116606,M4b,Depression
fixed,worry_social,0.04623717380600251,0.015591796968450044,2.965480752447155,856.2575949843307,0.003106018514458158,0.015634555958951822,0.07683979165305319,M4b,Depression
fixed,worry_safety_stigma,0.1478927532924964,0.0362105142920574,4.084248903499721,855.535897264145,4.837085878475481e-5,0.07682090337442894,0.21896460321056388,M4b,Depression
fixed,livelihood_disruption,0.01918651991753053,0.01232564227346573,1.556634493509088,852.8101113651288,0.11992829414168141,-0.005005629283979532,0.04337866911904059,M4b,Depression
fixed,support_close,0.049835832300722145,0.06972313555166279,0.7147675144901545,856.999645345605,0.4749473646546717,-0.0870122719671022,0.18668393656854648,M4b,Depression
