term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,sensitivity,effect
risk_self,0.12594868122055053,0.0627947544044959,2.005719783682011,0.07486888130444411,-0.015433590182922063,0.2673309526240231,9.28832400859524,Stress,Aggregate worry,NA
health_trust,-0.03808594218704154,0.03238172587354589,-1.1761554135740395,0.2710958426961289,-0.11187419031408066,0.03570230593999759,8.590544771323689,Stress,Aggregate worry,NA
worry_total,0.03953530564032858,0.005216615759780381,7.5787267954719,1.0896744232973309e-4,0.027279335706476,0.05179127557418116,7.230790000405704,Stress,Aggregate worry,NA
livelihood_disruption,0.006944730210641773,0.010014871784646617,0.6934417494279308,0.5093732636668291,-0.016515710124999847,0.03040517054628339,7.3406503738235385,Stress,Aggregate worry,NA
(Intercept),1.5836400541543354,1.7946236489433773,0.40567868028430887,0.6849787091590087,0.17181137616606737,14.59691364498399,NA,Depression,Binary multilevel (OR),fixed
countryNepal,0.32482075572523095,0.18290659181362273,-1.9969483581343679,0.04583079320273663,0.10772887383169238,0.979389457971582,NA,Depression,Binary multilevel (OR),fixed
countryVietnam,0.8291901584710081,0.4777179804600971,-0.3251125248268087,0.7450959099987283,0.26807408242102315,2.5647996728954037,NA,Depression,Binary multilevel (OR),fixed
age,0.9527868169097011,0.012040022102772219,-3.8272914970197682,1.295610500023849e-4,0.9294786396367453,0.9766794843523287,NA,Depression,Binary multilevel (OR),fixed
female,1.1005939305025083,0.2753975947952932,0.38305307750522494,0.7016804097005126,0.673959910282957,1.7972982982777148,NA,Depression,Binary multilevel (OR),fixed
ethnicity_minority,1.87366380924209,0.5533289938434997,2.1261592902035047,0.033489998512802197,1.0503050788815784,3.342472716405288,NA,Depression,Binary multilevel (OR),fixed
education,1.1187848229947592,0.11093642323224202,1.131962721773429,0.2576501072225497,0.9211771481563207,1.3587825997079652,NA,Depression,Binary multilevel (OR),fixed
employmentPart-time/casual,0.9166790814893014,0.2707578373860882,-0.2945402984496086,0.7683450746261337,0.5138063475511336,1.6354421124710672,NA,Depression,Binary multilevel (OR),fixed
employmentStudent,1.8104262586886988,0.8901898755141893,1.2071591006718458,0.22737087795723654,0.6906269111612054,4.745895627841375,NA,Depression,Binary multilevel (OR),fixed
employmentNot working,1.4641006372496324,0.4693916594747519,1.1891464322692147,0.23438204956046443,0.7810433450997325,2.7445220415021416,NA,Depression,Binary multilevel (OR),fixed
comorbidity,1.8699691733976367,0.3099784418084681,3.775923051255826,1.594162033606418e-4,1.351243621848846,2.587826986130708,NA,Depression,Binary multilevel (OR),fixed
gen_health,0.503090787186156,0.08144357191212936,-4.2436208538173945,2.1994183556297715e-5,0.36630967098767475,0.6909463773346627,NA,Depression,Binary multilevel (OR),fixed
